"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Lächeln","Verified Purchase","Reviewed in Australia on 30 December 2023","3.8 out of 5 stars","        Good price and quality  "
"2","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Nik","Verified Purchase","Reviewed in Australia on 8 October 2023","5.0 out of 5 stars","        Pairs well, love the design. Good value for the price 👍🏻  "
"3","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Lächeln","Verified Purchase","Reviewed in Australia on 30 December 2023","1.0 out of 5 stars","        Perfect fit, excellent sound quality and convenient charging case. Need to get used to prompts with touch rather than buttons but all ok.  "
"4","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","bomi Park","Verified Purchase","Reviewed in Australia on 8 January 2024","5.0 out of 5 stars","        The audio quality isn’t on par with AirPods, but these are a great set of earphones, really like the colour  "
"5","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","bomi Park","Verified Purchase","Reviewed in Australia on 15 February 2024","5.0 out of 5 stars","        Bought this for my brother who lives intestate as we talk everyday, no issues at all, works like a dream! Highly recommended! Thank you!  "
"6","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Mamaofthree","Verified Purchase","Reviewed in Australia on 1 December 2023","5.0 out of 5 stars","        Way better than Apple considering the price, my Apple airpods lasted for little over 2 yrs after which it's battery died, considering that was around 250$ and this is priced at almost 15% of that, it's way better value for your money.  "
"7","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Olivia","Verified Purchase","Reviewed in Australia on 24 November 2023","5.0 out of 5 stars","        Very happy with the earphones.  The battery life is great.  "
"8","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Richard Hughes","Verified Purchase","Reviewed in Australia on 23 October 2023","5.0 out of 5 stars","        The sound is good!  "
"9","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Manoj","Verified Purchase","Reviewed in Australia on 2 December 2023","5.0 out of 5 stars","        Love them so compact and great  "
"10","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Paul Wells","Verified Purchase","Reviewed in Australia on 2 December 2023","5.0 out of 5 stars","        Does an excellent job  "
"11","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Anat Bornstein","Verified Purchase","Reviewed in Australia on 21 November 2023","5.0 out of 5 stars","        Great sound, battery last over 6 hours if you decent on volume.Good fit at least for my ears, good functionality with tapping and work separately as single ear.  "
"12","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","christie","Verified Purchase","Reviewed in Australia on 17 November 2023","5.0 out of 5 stars","        .  "
"13","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Platinum International","Verified Purchase","Reviewed in Australia on 30 December 2023","5.0 out of 5 stars","        Good quality Wireless earbuds to cary anywhere. Sound is amazing and it's easy to setup with multiple devices. Good battery life as well.  "
"14","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Vladimir Horicka","Verified Purchase","Reviewed in Australia on 8 October 2023","5.0 out of 5 stars","        Excellent product good quality.  "
"15","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","M","Verified Purchase","Reviewed in Australia on 6 September 2023","3.8 out of 5 stars","        Great for its price  "
"16","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Sukun","Verified Purchase","Reviewed in Australia on 4 October 2023","5.0 out of 5 stars","        Best product for that price 👍  "
"17","Shure SE215 Pro Professional Sound Isolating Earphones (Clear)  ","Sukun","Verified Purchase","Reviewed in Australia on 26 July 2023","1.0 out of 5 stars","        Very good head phones Nokia  "
