"","Product","ReviewerName","TypeOfPurchase","Date","IndividualRating","ReviewText"
"1","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","My greatest purchase ever ","Verified Purchase","Reviewed in Australia on 29 January 2024","3.5 out of 5 stars","        This product is incredible. The packaging is just like the real thing and the sound quality is fantastic. It shipped within 3 days and connected to my phone within a minute. As great as the $300 version  "
"2","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","Shez","Verified Purchase","Reviewed in Australia on 18 December 2023","5.0 out of 5 stars","                                                                                                                                                                The media could not be loaded.                                                                                    excellent sound quality for Bluetooth earphones, and an apple dupe at that. ive been using lots of apple products and usually dupes are pretty recognisable, especially earphones but these are genuinely impressive, where i can't even really tell the difference between these and the apple product. i can't vouch for battery life because i haven't used them long enough to verify but considering how everything else is good, i'll make a positive assumption.  "
"3","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","My greatest purchase ever ","Verified Purchase","Reviewed in Australia on 29 January 2024","1.0 out of 5 stars","        These earphones are great, good audio, good range and volume up and down by taping the left and right side earphones 😊  "
"4","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","My greatest purchase ever ","Verified Purchase","Reviewed in Australia on 4 January 2024","5.0 out of 5 stars","        I’ve had cheap air pods before and the sound hasnt been great. These are next level amazing. 95% pre-charged. They automatically connected to my iPhone 11 no problem. You can have noise cancelling, normal or transparent sound. There are spare ear pieces if the shape doesn't suit your ear. I’m really impressed. Just ordered two more for presents.  "
"5","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","iris","Verified Purchase","Reviewed in Australia on 25 January 2024","5.0 out of 5 stars","        Very good quality for this price. As compared to  others in the market.  "
"6","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","iris","Verified Purchase","Reviewed in Australia on 23 November 2023","5.0 out of 5 stars","        Includes all the accessories, hold battery and sounds fine. Great for kids if they've lost a pair of airpods and want another. Put a case on them and you'd never know, iPhone connects to them as if they're legit.  "
"7","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","Michael Young","Verified Purchase","Reviewed in Australia on 12 February 2024","5.0 out of 5 stars","                                                                                                                                                                The media could not be loaded.                                                                                    I love my AirPod pros and they were only $40. Best dupe I’ve seen and purchased. Defs recommend to others. Connects well and sound quality is good for price. Just like AirPod pros . Wish they had usb c charging case but lightning for now is okay. Great as a gift for someone wanting to get AirPods but not sure about the expensive price.  "
"8","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","Bronwyn","Verified Purchase","Reviewed in Australia on 10 January 2024","5.0 out of 5 stars","        Affordable and very excited to give this one to my son. They look the part yet I’m not worried it’s overly expensive if he looses one. Until he is older, I’ll be buying these ones if I need to replace. Very happy  "
"9","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","Bronwyn","Verified Purchase","Reviewed in Australia on 17 December 2023","5.0 out of 5 stars","        My son is so happy with his ear buds! Quality and satisfaction for xmas. Thankyou  "
"10","Jabra Elite 10 true wireless earbuds with Advanced Active Noise Cancellation (ANC), Dolby Atmos experience, 6-mic call technology, 10mm speakers, Sweat Resistant, Water Resistant - Cocoa  ","Ahsan","Verified Purchase","Reviewed in Australia on 15 December 2023","5.0 out of 5 stars","        Sound quality is good and no issue to sync with my samsung mobile. works like a charm.  "
